Circuit Name,City Name,Country Name,Latitude,Longitude
Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.510556,
Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.631944,39.104444
Albert Park Circuit,Melbourne,Australia,-37.849722,144.968333
Suzuka International Racing Course,Suzuka,Japan,34.8417,136.5389
Shanghai International Circuit,Shanghai,China,31.338889,121.219722
Miami International Autodrome,Miami,USA,25.958056,-80.238889
Autodromo Internazionale Enzo e Dino Ferrari,Imola,Italy,44.341111,11.713333
Circuit de Monaco,Monte Carlo,Monaco,43.734722,7.420556
Circuit Gilles Villeneuve,Montréal,Canada,45.500556,-73.5225
Circuit de Barcelona-Catalunya,Montemeló,Spain,41.57,2.261111
Red Bull Ring,Spielberg,Austria,47.219722,14.764722
Silverstone Circuit,Silverstone,United Kingdom,52.075,-1.0167
Hungaroring,Mogyoród,Hungary,47.582222,19.251111
Circuit de Spa-Francorchamps,Stavelot,Belgium,50.437222,5.971389
Circuit Zandvoort,Zandvoort,Netherlands,52.388819,4.540922
Autodromo Nazionale Monza,Monza,Italy,45.620556,9.289444
Baku City Circuit,Baku,Azerbaijan,40.3725,49.853333
Marina Bay Street Circuit,Singapore,Singapore,1.291531,103.86385
Circuit of the Americas,Austin,USA,30.132778,-97.641111
Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.406111,-99.0925
Autódromo José Carlos Pace,São Paulo,Brazil,-23.701111,-46.697222
Las Vegas Strip Circuit,Las Vegas,USA,36.10995,-115.16217
Lusail International Circuit,Lusail,Qatar,25.49,51.454167
Yas Marina Circuit,Abu Dhabi,UAE,24.467222,54.603056
